LISTING_ID,CHANGE_AT,AMENITIES
3781,2008-12-03 00:00:00.000000000,"[
  ""Oven"",
  ""Washer"",
  ""Dishwasher"",
  ""Free street parking"",
  ""Bed linens"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""Extra pillows and blankets"",
  ""TV with standard cable"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Patio or balcony"",
  ""Smoke alarm""
]"
3781,2021-01-14 00:00:00.000000000,"[
  ""Oven"",
  ""Washer"",
  ""Dishwasher"",
  ""Free street parking"",
  ""Bed linens"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Free parking on premises"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""Extra pillows and blankets"",
  ""TV with standard cable"",
  ""Air conditioning"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Patio or balcony"",
  ""Dishes and silverware"",
  ""Smoke alarm""
]"
5506,2021-04-28 00:00:00.000000000,"[
  ""Washer"",
  ""Free street parking"",
  ""First aid kit"",
  ""Fire extinguisher"",
  ""Bed linens"",
  ""Wifi"",
  ""Shampoo"",
  ""Cable TV"",
  ""Luggage dropoff allowed"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Keypad"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Private entrance"",
  ""Hangers"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""Extra pillows and blankets"",
  ""TV with standard cable"",
  ""Air conditioning"",
  ""Bathtub"",
  ""Essentials"",
  ""Long term stays allowed"",
  ""Dishes and silverware"",
  ""Smoke alarm""
]"
5506,2009-02-19 00:00:00.000000000,"[
  ""Washer"",
  ""Free street parking"",
  ""First aid kit"",
  ""Fire extinguisher"",
  ""Bed linens"",
  ""Wifi"",
  ""Shampoo"",
  ""Cable TV"",
  ""Luggage dropoff allowed"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Keypad"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Private entrance"",
  ""Hangers"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""Extra pillows and blankets"",
  ""TV with standard cable"",
  ""Bathtub"",
  ""Essentials"",
  ""Long term stays allowed"",
  ""Smoke alarm""
]"
6695,2009-02-19 00:00:00.000000000,"[
  ""Oven"",
  ""Washer"",
  ""Dishwasher"",
  ""Free street parking"",
  ""Fire extinguisher"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Luggage dropoff allowed"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Keypad"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Smoke alarm""
]"
6695,2020-11-23 00:00:00.000000000,"[
  ""Oven"",
  ""Washer"",
  ""Dishwasher"",
  ""Free street parking"",
  ""Fire extinguisher"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Luggage dropoff allowed"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Dryer"",
  ""Keypad"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Air conditioning"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Dishes and silverware"",
  ""Smoke alarm""
]"
10813,2021-02-03 00:00:00.000000000,"[
  ""Dishwasher"",
  ""Fire extinguisher"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Air conditioning"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Dishes and silverware"",
  ""Smoke alarm""
]"
10813,2009-09-16 00:00:00.000000000,"[
  ""Dishwasher"",
  ""Fire extinguisher"",
  ""Wifi"",
  ""Shampoo"",
  ""Stove"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Heating"",
  ""Hair dryer"",
  ""Hot water"",
  ""Refrigerator"",
  ""Iron"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Smoke alarm""
]"
10986,2021-06-27 00:00:00.000000000,"[
  ""Lockbox"",
  ""Dishwasher"",
  ""Fire extinguisher"",
  ""Bed linens"",
  ""Wifi"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Heating"",
  ""Hot water"",
  ""Refrigerator"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Air conditioning"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Dishes and silverware"",
  ""Smoke alarm""
]"
10986,2009-09-16 00:00:00.000000000,"[
  ""Lockbox"",
  ""Dishwasher"",
  ""Fire extinguisher"",
  ""Bed linens"",
  ""Wifi"",
  ""Cable TV"",
  ""Microwave"",
  ""Carbon monoxide alarm"",
  ""Heating"",
  ""Hot water"",
  ""Refrigerator"",
  ""Hangers"",
  ""Cooking basics"",
  ""Coffee maker"",
  ""Dedicated workspace"",
  ""TV with standard cable"",
  ""Essentials"",
  ""Kitchen"",
  ""Long term stays allowed"",
  ""Smoke alarm""
]"
