ID,NAME,HOST_ID,HOST_NAME,HOST_SINCE,HOST_LOCATION,HOST_VERIFICATIONS,NEIGHBORHOOD,PROPERTY_TYPE,ROOM_TYPE,ACCOMMODATES,BATHROOMS_TEXT,BEDROOMS,BEDS,AMENITIES,PRICE,NUMBER_OF_REVIEWS,FIRST_REVIEW,LAST_REVIEW,REVIEW_SCORES_RATING
3781,HARBORSIDE-Walk to subway,4804,Frank,2008-12-03 00:00:00.000000000,Massachusetts,"[""email"", ""phone"", ""reviews""]",East Boston,Entire apartment,Entire home/apt,2,1 bath,1,0,"[""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Free parking on premises"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Patio or balcony"", ""Dishes and silverware"", ""Smoke alarm""]",$125.00,20,2015-10-30,2021-04-30,4.95
5506,**Special **   Private! Minutes to center!,8229,Terry,2009-02-19 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire guest suite,Entire home/apt,2,1 bath,1,1,"[""Washer"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Shampoo"", ""Cable TV"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Private entrance"", ""Hangers"", ""Coffee maker"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""TV with standard cable"", ""Air conditioning"", ""Bathtub"", ""Essentials"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$145.00,107,2011-10-23,2020-05-01,4.77
6695,Special!! Home Away! Condo,8229,Terry,2009-02-19 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire condominium,Entire home/apt,4,1 bath,,0,"[""Oven"", ""Washer"", ""Dishwasher"", ""Free street parking"", ""Fire extinguisher"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Luggage dropoff allowed"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Keypad"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$169.00,115,2014-08-12,2019-11-02,4.79
10813,"Back Bay Apt-blocks to subway, Newbury St, The Pru",38997,Michelle,2009-09-16 00:00:00.000000000,US,"[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""selfie"", ""government_id"", ""identity_manual""]",Back Bay,Entire apartment,Entire home/apt,3,1 bath,,1,"[""Dishwasher"", ""Fire extinguisher"", ""Wifi"", ""Shampoo"", ""Stove"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$106.00,5,2019-03-17,2020-12-02,5
10986,North End (Waterfront area)  CLOSE TO MGH & SUBWAY,38997,Michelle,2009-09-16 00:00:00.000000000,US,"[""email"", ""phone"", ""reviews"", ""jumio"", ""offline_government_id"", ""selfie"", ""government_id"", ""identity_manual""]",North End,Entire condominium,Entire home/apt,2,1 bath,,1,"[""Lockbox"", ""Dishwasher"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Heating"", ""Hot water"", ""Refrigerator"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""Dedicated workspace"", ""TV with standard cable"", ""Air conditioning"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$100.00,2,2016-05-23,2016-05-23,0
13247,Back Bay studio apartment,51637,Susan,2009-11-05 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone""]",Roxbury,Entire home/apt,Entire home/apt,1,1 bath,,0,"[""Oven"", ""Electric stove"", ""Washer"", ""Dishwasher"", ""Freezer"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Cable TV"", ""Microwave"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Hangers"", ""Cooking basics"", ""Coffee maker"", ""TV with standard cable"", ""Air conditioning"", ""Bathtub"", ""Essentials"", ""Kitchen"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$75.00,0,,,
22354,COPLEY SQ...19TH C.TWNHSE SUNNY RM,85770,Robert,2010-02-26 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba"", ""work_email""]",South End,Private room in house,Private room,1,,1,1,"[""Hot water"", ""Air conditioning"", ""Essentials"", ""Long term stays allowed"", ""Wifi"", ""Heating"", ""Smoke alarm""]",$148.00,316,2013-04-01,2019-11-04,4.47
60029,Room in geographical heart of Hub,255183,Michelle,2010-10-06 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Private room in apartment,Private room,1,1 shared bath,1,1,"[""Hot water"", ""Refrigerator"", ""Host greets you"", ""Extra pillows and blankets"", ""Iron"", ""Smoke alarm"", ""Hangers"", ""Free street parking"", ""First aid kit"", ""Essentials"", ""Heating"", ""Bed linens"", ""Carbon monoxide alarm"", ""Fire extinguisher"", ""Backyard"", ""Long term stays allowed"", ""Wifi"", ""Hair dryer"", ""Shampoo"", ""Dedicated workspace""]",$80.00,141,2012-04-21,2019-08-13,4.73
69369,Entire two-bedroom apartment near Longwood,255183,Michelle,2010-10-06 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews"", ""kba""]",Roxbury,Entire apartment,Entire home/apt,3,1 bath,2,2,"[""Host greets you"", ""Washer"", ""Free street parking"", ""First aid kit"", ""Fire extinguisher"", ""Bed linens"", ""Wifi"", ""Carbon monoxide alarm"", ""Dryer"", ""Heating"", ""Hair dryer"", ""Hot water"", ""Refrigerator"", ""Iron"", ""Backyard"", ""Cooking basics"", ""Dedicated workspace"", ""Extra pillows and blankets"", ""Essentials"", ""Long term stays allowed"", ""Dishes and silverware"", ""Smoke alarm""]",$100.00,120,2011-08-29,2019-11-09,4.75
77681,Waterfall Room: Bunker Hill B&B,416912,Christiane,2011-03-01 00:00:00.000000000,"Boston, Massachusetts, United States","[""email"", ""phone"", ""reviews""]",Charlestown,Private room in apartment,Private room,2,1 bath,1,1,"[""Washer"", ""Breakfast"", ""Air conditioning"", ""Hot tub"", ""Dryer"", ""TV"", ""Kitchen"", ""Long term stays allowed"", ""Wifi"", ""Heating""]",$140.00,54,2019-10-24,2019-11-02,4.35
